;Age;Attrition;BusinessTravel;DailyRate;Department;DistanceFromHome;Education;EducationField;employeecount;employeenumber;EnvironmentSatisfaction;Gender;HourlyRate;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;MonthlyRate;NUMCOMPANIESWORKED;Over18;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TOTALWORKINGYEARS;TrainingTimesLastYear;WORKLIFEBALANCE;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YEARSWITHCURRMANAGER;SameAsMonthlyIncome;DateBirth;Salary;RoleDepartament;NUMBERCHILDREN;RemoteWork
31;forty-seven;No;;1180,0$; Research & Development ;25;3;Medical;1;1993;1;0;84;3;3; heALthCArE RePResEntaTIVe ;3;;nan;13084;2;;;23;4;2;nan;0;25;3;3;17;nan;12;11;nan;1976;1000000000$; heALthCArE RePResEntaTIVe  -  Research & Development ;;Yes
32;53;No;travel_rarely;1282,0$;;5;3;;1;32;3;1;58;3;5; ManAgER ;3;;nan;10735;4;;;11;3;4;nan;1;26;3;2;14;nan;4;8;nan;1970;1000000000$;;;Yes
33;35;No;;776,0$;;1;4;Marketing;1;100;3;0;32;2;2; salEs EXeCUtIvE ;1;Single;nan;23016;0;Y;No;14;nan;2;80;0;16;2;3;15;nan;2;8;nan;1988;1000000000$;;;0
34;34;No;travel_rarely;665,0$;;6;4;Other;1;nan;1;1;41;3;2; rEsEARcH SCIeNTist ;3;Single;nan;12482;1;Y;;14;3;3;nan;0;16;3;3;16;nan;2;10;nan;1989;1000000000$;;;True
35;46;No;travel_rarely;526,0$;;1;2;;1;244;2;1;92;3;3; SALEs eXECuTive ;1;Divorced;nan;2137;1;;No;25;4;3;nan;3;24;2;3;24;nan;15;7;nan;1977;1000000000$;;;Yes
36;43;No;;1034,0$;;16;3;;1;327;4;1;80;3;4; ManagEr ;4;Married;16064;7744;5;;;22;4;3;nan;1;22;3;3;17;nan;1;9;16064;1980;1000000000$;;;1
37;36;No;;1403,0$; Research & Development ;6;3;Life Sciences;1;373;4;0;47;3;1; lABORAtOry tECHnIcIan ;4;Married;3210;20251;0;;;11;3;3;nan;1;16;4;3;15;nan;10;11;3210;1987;1000000000$; lABORAtOry tECHnIcIan  -  Research & Development ;;True
38;60;No;travel_frequently;1499,0$;;28;3;;1;nan;3;1;80;2;3; Sales exEcUtiVe ;1;Married;10266;2845;4;Y;No;19;3;4;nan;0;22;5;4;18;13;13;11;10266;1963;1000000000$;;;1
39;40;No;travel_frequently;580,0$;;5;4;;1;729;4;0;48;2;3; saLes eXEcUTIVE ;1;Married;10475;23772;5;;Yes;21;4;3;80;1;20;2;3;18;nan;1;12;10475;1983;1000000000$;;;0
40;32;No;travel_rarely;859,0$;;4;3;;1;830;3;1;98;2;2; maNufactUring DIrEcToR ;3;Married;6162;19124;1;Y;No;12;3;3;80;1;14;3;3;14;nan;6;8;6162;1991;1000000000$;;;0
41;41;No;travel_rarely;263,0$;;-35;3;;1;nan;35;0;59;3;1; LaboRAtorY TecHNiCiAn ;1;Single;4721;3119;2;;Yes;13;nan;3;nan;0;20;3;3;18;nan;2;17;4721;1982;1000000000$;;;1
42;53;No;;1376,0$;;2;2;Medical;1;981;3;0;Not Available;3;4; ManageR ;3;Divorced;nan;13938;6;;No;13;3;3;nan;1;22;3;4;17;nan;15;2;nan;1970;1000000000$;;;False
43;36;Yes;travel_rarely;885,0$;;16;4;;1;1042;3;1;43;4;1; LABorAToRY tECHnIciAN ;1;Single;nan;8269;1;Y;;16;3;3;80;0;18;1;3;17;nan;15;14;nan;1987;1000000000$;;;Yes
44;46;No;;1003,0$;;8;4;Life Sciences;1;1080;4;1;74;2;2; RESEarch SCIenTisT ;1;Divorced;4615;21029;8;;Yes;23;4;1;nan;3;nan;2;3;16;nan;1;7;4615;1977;1000000000$;;;0
45;38;No;travel_rarely;1321,0$;;1;4;;1;1995;4;0;86;3;2; SalES exECUTIve ;2;Married;nan;7636;0;;No;15;3;1;nan;2;16;3;nan;15;nan;5;8;nan;1985;1000000000$;;;1
46;51;No;;nan$;;1;4;;1;145;1;1;30;2;3; heAltHCare rEPrESEntaTIvE ;1;Single;nan;25796;3;;;20;4;3;nan;0;23;1;2;13;nan;12;8;nan;1972;1000000000$;;;True
47;43;No;;394,0$;;26;2;;1;158;3;0;92;3;4; maNaGeR ;4;Married;16959;19494;1;;Yes;12;3;4;80;2;25;3;4;25;nan;4;12;16959;1980;1000000000$;;;1
48;37;No;;1372,0$;;1;3;Life Sciences;1;391;4;1;42;3;1; ResEARCh SciENTist ;4;Single;nan;15881;1;;No;12;3;2;80;0;nan;3;3;17;nan;5;7;nan;1986;1000000000$;;;Yes
49;32;No;travel_rarely;nan$;;8;2;Technical Degree;1;436;3;1;65;2;2; salES ExecuTIve ;2;Married;nan;24624;1;;Yes;11;3;4;80;0;nan;2;3;13;12;11;9;nan;1991;1000000000$;;;True
50;38;No;;1333,0$;;1;3;;1;nan;4;1;80;3;3; ReSeaRch directOR ;1;Married;nan;16292;1;;;13;3;2;nan;1;15;3;3;15;nan;5;11;nan;1985;1000000000$;;;False
51;46;No;;228,0$;;3;3;Life Sciences;1;1527;3;1;51;3;4; mAnAgER ;2;;nan;11380;8;;No;12;3;4;80;1;23;2;4;13;nan;5;1;nan;1977;1000000000$;;;Yes
52;35;Yes;travel_rarely;737,0$;;10;3;Medical;1;nan;4;0;55;2;3; sAles EXecuTive ;1;Married;10306;21530;9;;;17;3;3;nan;0;15;3;nan;13;nan;6;0;10306;1988;1000000000$;;;0
53;43;No;;823,0$;;6;3;Medical;1;1866;1;1;81;2;5; MaNAGEr ;3;Married;nan;22539;7;;No;13;3;4;nan;0;21;2;3;16;nan;6;14;nan;1980;1000000000$;;;Yes
54;56;No;non-travel;667,0$;;1;4;Life Sciences;1;2026;3;0;57;3;2; hEALThcArE REPrESeNTATive ;3;Divorced;nan;26236;1;Y;No;21;nan;1;nan;1;nan;2;2;13;nan;1;9;nan;1967;1000000000$;;;Yes
55;36;No;non-travel;301,0$;;15;4;Marketing;1;nan;4;0;88;1;2; SAlES ExECuTIVe ;4;divorced;5406;10436;1;Y;No;24;4;1;80;1;nan;4;2;15;nan;11;11;5406;1987;1000000000$;;;1
56;38;No;;573,0$;;6;3;Medical;1;107;2;1;79;1;2; rEseARch SCieNtIsT ;4;;nan;15717;7;Y;;12;3;4;nan;3;17;3;3;13;nan;1;9;nan;1985;1000000000$;;;Yes
57;49;No;;nan$;;-26;4;Medical;1;170;3;1;96;3;2; maNufActUrInG DIrECtOr ;1;;nan;5549;1;;No;14;3;3;nan;0;16;2;2;15;nan;5;11;nan;1974;1000000000$;;;0
58;39;No;travel_rarely;1329,0$;;4;4;Life Sciences;1;nan;4;1;47;2;2; sALEs eXeCuTIvE ;3;Married;5902;14590;4;;;14;3;3;80;1;17;1;4;15;nan;5;9;5902;1984;1000000000$;;;Yes
59;40;No;;630,0$;;4;4;;1;215;3;0;67;2;3; SALES eXECUtiVE ;4;Married;10855;8552;7;Y;No;11;nan;1;nan;1;15;2;2;12;nan;2;11;10855;1983;1000000000$;;;Yes
60;36;No;;nan$;;5;2;;1;304;4;0;62;3;2; lAboratORy TeChNiCiaN ;2;Single;5914;9945;8;Y;No;16;3;4;80;0;16;3;4;13;nan;3;7;5914;1987;1000000000$;;;1
61;37;No;;1063,0$;;25;5;;1;529;2;1;72;3;2; RESEaRCh sCIENtIst ;3;Married;nan;23866;3;Y;Yes;15;3;1;80;2;15;2;3;13;nan;10;7;nan;1986;1000000000$;;;0
62;35;No;;1017,0$;;6;4;;1;691;2;0;82;1;2; REsEarcH sCieNTISt ;4;;6646;19368;1;Y;;13;3;2;nan;0;nan;3;3;17;nan;11;8;6646;1988;1000000000$;;;Yes
63;33;No;travel_frequently;1296,0$;;6;3;Life Sciences;1;692;3;0;Not Available;3;2; heaLthCaRE ReprEseNtaTiVe ;4;Divorced;nan;5335;3;;No;23;4;3;nan;1;15;2;1;13;nan;4;7;nan;1990;1000000000$;;;False
64;50;No;travel_rarely;939,0$; Research & Development ;24;3;;1;1005;4;0;Not Available;3;4; ManufactUrINg DiReCTOr ;3;Married;13973;4161;3;;Yes;18;3;4;nan;1;22;2;3;12;nan;1;5;13973;1973;1000000000$; ManufactUrINg DiReCTOr  -  Research & Development ;;False
65;48;No;travel_rarely;1355,0$;;4;4;;1;1024;3;0;78;2;3; HEaLthcAre REPrEsEntaTIvE ;3;Single;nan;22245;7;;;14;nan;2;80;0;27;3;3;15;11;4;8;nan;1975;1000000000$;;;Yes
66;44;No;travel_rarely;1448,0$; Sales ;28;3;;1;1039;4;1;53;4;4; SaleS eXEcUtIVE ;4;Married;13320;11737;3;;;18;3;3;80;1;nan;2;3;12;nan;11;11;13320;1979;1000000000$; SaleS eXEcUtIVE  -  Sales ;;1
67;44;No;travel_rarely;200,0$;;29;4;;1;1225;4;0;32;3;2; reseaRCH ScIEntIst ;4;Single;nan;7744;1;Y;;25;4;2;nan;0;nan;3;3;20;nan;13;17;nan;1979;1000000000$;;;Yes
68;40;No;;1202,0$;;-25;1;;1;1375;25;1;89;4;2; HEAlTHcaRe ReprESeNtatIVe ;3;;nan;13888;5;;No;20;4;2;nan;3;15;0;3;12;nan;11;8;nan;1983;1000000000$;;;True
69;34;No;travel_rarely;404,0$;;2;4;;1;nan;3;1;98;3;2; HeaLthCare repRESeNTaTIVE ;4;Single;6687;6163;1;;;11;3;4;80;0;14;2;4;14;nan;4;11;6687;1989;1000000000$;;;True
70;35;No;non-travel;208,0$; Research & Development ;8;4;;1;nan;3;1;52;3;2; HEaLthcaRe rEprEsEnTAtiVe ;3;;nan;12250;1;;;12;3;4;80;1;nan;5;3;14;nan;2;9;nan;1988;1000000000$; HEaLthcaRe rEprEsEnTAtiVe  -  Research & Development ;;True
71;50;No;;813,0$;;17;5;Life Sciences;1;nan;4;1;50;2;3; ReseArcH diReCtOr ;1;;nan;21981;5;;No;15;3;3;nan;3;nan;3;3;14;11;1;11;nan;1973;1000000000$;;;0
72;49;No;;465,0$;;6;1;Life Sciences;1;1661;3;1;41;2;4; healthcArE repReSEnTaTive ;3;;nan;11652;2;;;19;3;2;80;1;nan;3;3;15;nan;2;12;nan;1974;1000000000$;;;Yes
73;38;No;travel_frequently;1189,0$;;1;3;Life Sciences;1;1668;4;0;90;3;2; reSeARch sCientIst ;4;;4735;9867;7;Y;No;15;3;4;80;2;19;4;nan;13;nan;2;9;4735;1985;1000000000$;;;True
74;33;No;;nan$;;21;3;;1;1698;2;0;79;4;1; lAbOrAtory tecHnIciaN ;2;;nan;13637;1;;No;18;3;4;nan;3;14;6;nan;14;nan;2;13;nan;1990;1000000000$;;;True
75;47;No;travel_rarely;1001,0$;;4;3;Life Sciences;1;nan;3;1;92;2;3; maNufACTURING DIREctOr ;2;Divorced;nan;19271;8;;Yes;12;nan;3;nan;1;nan;4;3;22;nan;14;10;nan;1976;1000000000$;;;Yes
76;38;No;;1394,0$; Research & Development ;8;3;;1;1937;4;1;58;2;2; rESeArCH sCientIST ;2;Divorced;nan;18115;1;;;16;3;3;nan;1;20;3;3;20;nan;0;7;nan;1985;1000000000$; rESeArCH sCientIST  -  Research & Development ;;0
77;37;No;travel_rarely;161,0$;;10;3;Life Sciences;1;2017;3;1;42;4;3; ResEarCh dIReCtOr ;4;;nan;15471;1;;Yes;25;4;1;nan;1;16;2;3;16;nan;6;8;nan;1986;1000000000$;;;Yes
78;30;No;;288,0$;;2;3;;1;117;3;0;99;2;2; hEALtHcare REpREsenTAtiVe ;4;Married;nan;15830;1;;No;19;nan;1;80;3;11;3;3;11;nan;10;8;nan;1993;1000000000$;;;Yes
79;fifty-eight;No;travel_rarely;682,0$;;-18;4;;1;131;4;0;37;3;4; saLes ExECutiVE ;3;Single;13872;24409;0;;;13;3;3;nan;0;38;1;2;37;nan;1;8;13872;1965;1000000000$;;;1
80;34;No;travel_rarely;1354,0$;;5;3;;1;153;3;1;45;2;3; mAnagER ;1;Single;nan;5615;2;;;12;3;4;80;0;14;6;3;11;nan;5;8;nan;1989;1000000000$;;;0
81;58;Yes;travel_rarely;147,0$;;23;4;Medical;1;nan;4;1;94;3;3; hEaLtHCARE ReprESENTATivE ;4;Married;nan;3465;1;;;12;3;4;nan;1;40;3;2;40;nan;15;6;nan;1965;1000000000$;;;Yes
82;38;No;;119,0$;;3;3;Life Sciences;1;307;1;0;76;3;3; Sales exECuTIVE ;3;Divorced;nan;9647;0;Y;;12;3;3;nan;2;nan;6;2;16;nan;5;13;nan;1985;1000000000$;;;1
83;29;No;travel_frequently;1413,0$;;1;1;;1;nan;2;1;42;3;3; SalEs eXecUTIVe ;4;Married;nan;6599;1;Y;;14;3;4;nan;1;11;5;3;11;nan;4;1;nan;1994;1000000000$;;;True
84;55;No;travel_rarely;452,0$;;1;3;Medical;1;374;4;0;81;3;5; manAger ;1;Single;19045;18938;0;Y;;14;3;3;nan;0;37;2;3;36;nan;4;13;19045;1968;1000000000$;;;1
85;41;No;;334,0$;;-10;4;;1;nan;4;0;88;3;4; MAnager ;2;;16015;15896;1;;;19;3;2;nan;0;nan;2;3;22;nan;0;4;16015;1982;1000000000$;;;Yes
86;39;No;travel_rarely;1132,0$; Research & Development ;1;3;;1;nan;3;0;48;4;3; healTHCAre rePREseNtATiVE ;4;;9613;10942;0;;No;17;nan;1;80;3;19;5;2;18;nan;3;7;9613;1984;1000000000$; healTHCAre rePREseNtATiVE  -  Research & Development ;;0
87;38;No;;nan$;;15;2;Life Sciences;1;nan;3;0;92;2;3; rESEaRCh DirEcToR ;4;;11510;15682;0;;;14;3;2;nan;1;nan;3;3;11;nan;2;9;11510;1985;1000000000$;;;1
88;43;No;;982,0$;;12;3;;1;nan;1;0;59;2;4; researCH DIrECtoR ;2;;nan;4345;1;;No;11;3;3;80;1;nan;3;nan;25;nan;3;9;nan;1980;1000000000$;;;True
89;31;No;;480,0$;;-30;2;;1;524;2;1;31;3;2; MaNufactuRINg dIrecTor ;1;Married;4306;4156;1;;No;12;3;2;80;1;13;5;1;13;nan;3;12;4306;1992;1000000000$;;;Yes
90;50;No;travel_rarely;1099,0$; Research & Development ;-27;4;Life Sciences;1;569;27;0;88;2;4; mANaGer ;3;Marreid;17046;9314;0;Y;No;15;3;2;nan;1;28;2;3;27;nan;15;7;17046;1973;1000000000$; mANaGer  -  Research & Development ;;True
91;35;No;;672,0$;;25;3;Technical Degree;1;899;4;0;78;2;3; MaNUFACTuRing dirECTOr ;2;Married;nan;9129;3;Y;No;16;nan;1;nan;0;nan;2;3;13;nan;4;8;nan;1988;1000000000$;;;0
92;47;No;;1379,0$;;16;4;;1;nan;3;0;64;4;2; manufaCtURiNG DirecToR ;3;;5067;6759;1;;Yes;19;3;3;nan;0;20;3;nan;19;nan;2;7;5067;1976;1000000000$;;;Yes
93;35;No;;583,0$; Research & Development ;25;4;;1;1014;3;1;57;3;3; HEAltHCaRe REPreseNTatIve ;3;Divorced;nan;6975;1;;Yes;11;nan;3;nan;1;nan;3;2;16;nan;10;1;nan;1988;1000000000$; HEAltHCaRe REPreseNTatIve  -  Research & Development ;;1
94;40;No;travel_rarely;1492,0$;;20;4;;1;nan;1;0;61;3;3; hEaLtHCaRe reprEsenTaTive ;4;Married;nan;26542;4;Y;;20;4;4;nan;1;14;6;3;11;nan;11;1;nan;1983;1000000000$;;;1
95;45;No;;1050,0$; Sales ;9;4;Life Sciences;1;1117;2;1;65;2;2; SaLeS eXECUTivE ;3;Married;nan;17970;1;Y;;13;3;4;80;1;15;2;3;15;nan;4;12;nan;1978;1000000000$; SaLeS eXECUTivE  -  Sales ;;0
96;33;No;;117,0$; Research & Development ;9;3;Medical;1;1238;1;0;60;3;1; reSeARCH SCIEnTiST ;4;Married;nan;6311;0;Y;;13;3;2;nan;1;15;5;3;14;nan;4;10;nan;1990;1000000000$; reSeARCH SCIEnTiST  -  Research & Development ;;False
97;36;No;travel_frequently;469,0$;;3;3;;1;nan;3;0;46;3;1; ResEArCH sCIEntisT ;2;Married;3692;9256;1;Y;No;12;3;3;nan;0;12;2;2;11;nan;0;7;3692;1987;1000000000$;;;False
98;45;Yes;;nan$;;-13;3;Marketing;1;1277;1;1;94;1;5; maNAger ;2;;nan;2493;2;;Yes;16;3;1;nan;0;26;2;3;24;nan;1;11;nan;1978;1000000000$;;;True
99;51;No;travel_frequently;237,0$;;-27;3;;1;nan;27;0;83;3;5; ManAgeR ;2;;19847;19196;4;;Yes;24;nan;1;nan;1;nan;5;2;29;nan;11;10;19847;1972;1000000000$;;;0
100;34;No;travel_rarely;1440,0$;;7;2;Technical Degree;1;1541;2;0;55;3;1; SaLes rEPREsENtAtivE ;3;;2308;4944;0;;Yes;25;4;2;nan;1;12;4;3;11;nan;5;7;2308;1989;1000000000$;;;0
101;43;No;travel_rarely;1291,0$; Research & Development ;15;2;;1;1666;3;0;65;2;4; ReSearch DiRecTOR ;3;;nan;3525;1;;No;24;4;1;nan;1;nan;3;3;14;nan;6;11;nan;1980;1000000000$; ReSearch DiRecTOR  -  Research & Development ;;1
102;34;No;;1157,0$;;5;2;Medical;1;1696;2;0;57;2;2; LABoRATOry teChnicIan ;4;;nan;11912;1;Y;No;14;3;3;nan;1;nan;3;nan;15;nan;4;13;nan;1989;1000000000$;;;0
103;38;No;;1336,0$;;2;3;;1;1805;1;0;100;3;1; huMan RESOURcEs ;2;Divorced;nan;7129;5;;No;13;3;4;nan;3;13;3;3;11;nan;3;8;nan;1985;1000000000$;;;1
104;48;No;;1224,0$;;10;3;;1;nan;4;0;91;2;5; ResearcH DiReCtOR ;2;;nan;13583;4;Y;No;12;3;4;nan;0;29;3;3;22;nan;12;9;nan;1975;1000000000$;;;0
105;34;No;;735,0$; Research & Development ;22;4;Other;1;1932;3;0;86;2;2; resEaRCh SciEnTist ;4;Married;5747;26496;1;;Yes;15;3;2;nan;0;16;3;3;15;nan;6;11;5747;1989;1000000000$; resEaRCh SciEnTist  -  Research & Development ;;False
106;32;No;travel_rarely;nan$;;-31;4;;1;2016;31;1;48;3;3; SAleS eXEcUtIve ;4;;10422;24032;1;Y;No;19;3;3;nan;2;14;3;3;14;nan;5;7;10422;1991;1000000000$;;;Yes
107;29;No;travel_rarely;1389,0$;;21;4;Life Sciences;1;20;2;1;51;4;3; maNufaCturing direcTOr ;1;Divorced;nan;10195;1;Y;No;11;3;3;nan;1;10;1;3;10;nan;8;8;nan;1994;1000000000$;;;0
108;46;No;;638,0$;;1;3;Medical;1;nan;3;0;40;2;3; HEalThCare REPreseNTAtive ;1;Married;nan;3142;2;;Yes;13;3;3;nan;1;21;5;2;10;nan;9;5;nan;1977;1000000000$;;;False
109;30;No;;1240,0$; Human Resources ;9;3;;1;184;3;0;48;3;2; hUmaN REsoUrCes ;4;Married;6347;13982;0;;Yes;19;3;4;80;0;nan;2;1;11;nan;4;7;6347;1993;1000000000$; hUmaN REsoUrCes  -  Human Resources ;;0
110;45;No;;194,0$;;9;3;Life Sciences;1;206;2;0;60;3;2; LaboRaTORY TechnICiAn ;2;;2348;10901;8;Y;No;18;3;3;nan;1;20;2;nan;17;nan;0;15;2348;1978;1000000000$;;;Yes
111;30;No;travel_rarely;1339,0$;;5;3;;1;228;2;1;41;3;3; SalES ExeCuTIVe ;4;;nan;8053;2;Y;No;12;3;3;nan;1;nan;2;3;10;nan;7;4;nan;1993;1000000000$;;;True
112;30;No;;111,0$;;9;3;;1;239;3;0;66;3;2; lABOrAtorY tEcHNICian ;1;;3072;11012;1;Y;No;11;nan;3;80;2;12;4;3;12;nan;6;10;3072;1993;1000000000$;;;Yes
113;34;No;travel_frequently;nan$;;-29;1;;1;256;4;0;45;2;2; manUFACTuRiNg dIrECToR ;3;Married;nan;14074;1;;;17;3;3;nan;0;10;2;2;10;nan;1;9;nan;1989;1000000000$;;;False
